CrashID,CrashMasterFile,Lat,Long,rtunique,CurvePresent,GradePresent,BadVisibility,BadWeather,WetRdway,VOSh,Congestion,Speed,Sphr,P_N,VehicleDefect,WorkZone,Animal/Debris,SlipperySurf/WaterPooling,Impaired,Dstracted,Inattention,DrivingTooFast,RightOfWay,ImproperManeuver,FollowTooClose
10522,72267028,37.865,-85.70557,015-I-0065-000,0,0,0,0,0,0,0,70.21,No,No,0,0,0,0,1,0,0,0,0,0,0
10523,72267033,37.4056,-85.88136,050-I-0065-000,0,0,0,0,0,0,0,70.21,No,No,0,0,1,0,0,0,0,0,0,0,0
10524,72267085,38.79716,-84.73493,039-I-0071-010,0,0,1,0,0,0,0,65.86,No,No,0,0,1,0,0,0,0,0,0,0,0
10526,72267123,38.11328,-85.66716,056-I-0265-010,0,0,0,0,0,0,0,51.96,No,No,0,1,0,0,0,0,0,0,0,0,1
10527,72267138,37.87086,-85.70411,015-I-0065-010,0,0,1,0,0,0,0,70.21,No,No,0,0,0,0,1,0,0,0,0,0,0
10529,72267217,39.02585,-84.55851,059-I-0275-000,0,1,1,0,0,1,0,62.18,No,No,0,0,1,0,0,0,0,0,0,0,0
10530,72267230,38.2464,-85.62095,056-I-0264-010,0,0,1,0,0,1,0,55.3,No,No,0,0,0,0,0,0,1,0,0,0,0
10532,72267246,37.86921,-84.3337,076-I-0075-010,0,0,1,0,0,0,0,69.04,No,No,0,0,1,0,0,0,0,0,0,0,0
10533,72267255,38.18458,-85.20402,106-I-0064-010,0,1,1,0,0,0,0,59.7,No,No,0,0,0,0,0,0,0,0,0,1,0
10534,72267271,38.28926,-85.6746,056-I-0071-010,0,1,1,0,0,0,0,55.3,No,No,0,0,0,0,0,1,1,0,0,0,0
10535,72267299,38.83438,-84.60752,059-I-0075-010,0,0,1,0,0,0,0,69.59,No,No,0,0,1,0,0,0,0,0,0,0,0
10536,72267305,37.4715,-85.88159,062-I-0065-000,0,0,0,0,0,0,0,70.21,No,No,0,0,0,0,0,0,0,0,0,1,0
10537,72267321,37.21535,-84.19972,063-I-0075-000,0,0,1,0,0,0,0,70.21,No,No,0,0,0,0,0,0,0,0,0,1,0
10538,72267323,38.3093,-85.59269,056-I-0071-000,0,0,0,0,0,0,0,63.32,No,No,0,0,0,0,0,1,0,0,0,0,0
10539,72267324,38.23352,-85.61021,056-I-0064-010,0,0,0,0,0,0,1,33.79,No,No,0,0,0,0,0,0,1,0,0,0,0
10540,72267327,38.2228,-85.51089,056-I-0064-000,0,0,0,0,0,1,1,25.93,No,No,0,0,0,0,0,0,1,0,0,0,0
10541,72267329,38.2442,-85.62138,056-I-0264-010,0,0,1,0,0,0,0,53.44,No,No,0,0,0,0,0,0,1,0,0,0,0
10543,72267337,37.50489,-87.47516,117-I-0069-010,0,0,1,1,1,0,0,67.17,No,No,0,0,1,0,0,0,0,0,0,0,0
10544,72267339,38.86635,-84.64494,008-I-0071-010,0,1,1,0,0,0,0,70.21,No,No,0,0,1,0,0,0,0,0,0,0,0
10545,72267342,38.20987,-85.75289,056-I-0065-000,1,0,1,0,1,0,0,55.3,No,No,0,0,0,0,0,0,0,1,0,0,0
10546,72267346,38.30019,-85.61564,056-I-0071-000,0,0,1,0,0,0,0,62.76,No,No,0,0,0,0,0,0,0,0,0,1,0
10548,72267361,38.23204,-85.60541,056-I-0064-010,0,0,1,0,0,1,0,55.3,No,No,0,0,0,0,0,0,0,0,0,0,0
10550,72267368,37.94563,-85.68844,015-I-0065-000,0,0,1,0,0,0,0,56.86,No,No,0,0,0,0,0,0,0,0,0,0,0
